Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-06-29,1,500.00,180000.00,360.00,360.00,360.00
2010-06-30,1,1112.00,400320.00,360.00,360.00,360.00
2010-07-06,1,494.00,177840.00,360.00,360.00,360.00
2010-08-04,1,330.00,118800.00,360.00,360.00,360.00
2010-11-11,1,1486.00,534960.00,360.00,360.00,360.00
2011-02-22,1,56.00,20160.00,360.00,360.00,360.00
2011-03-07,1,40.00,14400.00,360.00,360.00,360.00
2011-04-27,1,2009.00,723240.00,360.00,360.00,360.00
2011-05-18,1,6466.00,2327760.00,360.00,360.00,360.00
2011-06-29,2,4070.00,1408661.00,353.00,346.00,346.00
2011-08-01,2,1375.00,467500.00,340.00,340.00,340.00
2011-09-25,1,20.00,6800.00,340.00,340.00,340.00
2011-11-13,1,120.00,40080.00,334.00,334.00,334.00
2011-11-20,2,5439.00,1752210.00,328.00,322.00,322.00
2011-11-28,6,1126.00,334678.00,316.00,290.00,290.00
2011-11-29,2,107.00,30245.00,285.00,280.00,280.00
2012-01-18,8,1088.00,282644.00,275.00,252.00,252.00
2012-01-25,2,75.00,18750.00,250.00,250.00,250.00
2012-01-29,3,357.00,88440.00,250.00,245.00,245.00
2012-01-31,1,27.00,6507.00,241.00,241.00,241.00
2012-02-01,1,13.00,3172.00,244.00,244.00,244.00
2012-02-06,5,10686.00,2544892.00,242.00,236.00,238.00
2012-02-13,1,54.00,12636.00,234.00,234.00,234.00
2012-02-15,2,1201.00,276230.00,230.00,230.00,230.00
2012-02-28,1,48.00,11040.00,230.00,230.00,230.00
2012-02-29,2,270.00,61034.00,227.00,226.00,227.00
2012-03-01,1,39.00,8697.00,223.00,223.00,223.00
2012-03-04,2,163.00,35633.00,219.00,215.00,215.00
2012-03-06,1,377.00,79547.00,211.00,211.00,211.00
2012-03-11,1,13.00,2743.00,211.00,211.00,211.00
2012-03-19,1,46.00,9338.00,203.00,203.00,203.00
2012-03-21,2,375.00,74070.00,199.00,196.00,196.00
2012-03-28,3,1948.00,370420.00,193.00,190.00,190.00
2012-04-09,1,50.00,9500.00,190.00,190.00,190.00
2012-04-30,6,6097.00,1225363.00,209.00,193.00,209.00
2012-05-07,5,8082.00,1762590.00,221.00,213.00,221.00
2012-05-29,1,3170.00,703740.00,222.00,222.00,222.00
2012-06-12,4,557.00,111358.00,202.00,198.00,200.00
2012-06-13,2,163.00,32828.00,204.00,200.00,204.00
2012-07-30,1,116.00,24128.00,208.00,208.00,208.00
2012-08-14,1,136.00,28832.00,212.00,212.00,212.00
2012-08-15,1,246.00,51414.00,209.00,209.00,209.00
2012-09-09,1,20.00,4380.00,219.00,219.00,219.00
2012-09-11,1,20.00,4580.00,229.00,229.00,229.00
