Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-15,3,629.00,334950.00,535.00,530.00,530.00
2010-04-19,5,334.00,169336.00,510.00,502.00,502.00
2010-04-20,16,2345.00,1173081.00,522.00,492.00,493.00
2010-04-21,16,1831.00,879456.00,486.00,478.00,478.00
2010-04-22,6,450.00,210465.00,471.00,461.00,470.00
2010-04-25,2,292.00,136304.00,470.00,461.00,470.00
2010-04-26,4,217.00,102502.00,475.00,465.00,475.00
2010-04-27,9,847.00,392717.00,470.00,461.00,465.00
2010-04-28,4,519.00,246034.00,484.00,470.00,484.00
2010-04-29,3,350.00,176300.00,512.00,493.00,512.00
2010-05-09,8,1094.00,532910.00,502.00,481.00,484.00
2010-05-10,3,412.00,198406.00,488.00,480.00,481.00
2010-05-12,2,20.00,9890.00,499.00,490.00,499.00
2010-05-13,18,2519.00,1378182.00,548.00,508.00,548.00
2010-05-16,34,3010.00,1590630.00,555.00,510.00,525.00
2010-05-17,29,3039.00,1623947.00,550.00,507.00,548.00
2010-05-18,13,2295.00,1271792.00,571.00,540.00,571.00
2010-05-19,26,3115.00,1811867.00,594.00,570.00,580.00
2010-05-20,35,4217.00,2547057.00,615.00,589.00,609.00
2010-05-23,26,2340.00,1410742.00,621.00,590.00,600.00
2010-05-24,13,1227.00,729625.00,610.00,590.00,600.00
2010-05-25,33,2896.00,1866434.00,660.00,600.00,660.00
2010-05-26,33,3896.00,2555032.00,680.00,620.00,636.00
2010-05-30,10,1101.00,767691.00,699.00,648.00,699.00
2010-05-31,45,4674.00,3131058.00,754.00,640.00,645.00
2010-06-01,19,1644.00,1028251.00,667.00,597.00,655.00
2010-06-02,9,756.00,494713.00,664.00,644.00,660.00
2010-06-03,24,2066.00,1392495.00,696.00,660.00,675.00
2010-06-06,15,1195.00,790025.00,670.00,655.00,655.00
2010-06-07,16,3024.00,1975599.00,668.00,645.00,660.00
2010-06-08,19,1222.00,822527.00,683.00,655.00,672.00
2010-06-09,21,2255.00,1533154.00,687.00,670.00,674.00
2010-06-10,27,2248.00,1511222.00,679.00,670.00,674.00
2010-06-13,19,1540.00,1025882.00,670.00,663.00,669.00
2010-06-14,11,1059.00,702006.00,665.00,658.00,665.00
2010-06-15,11,1128.00,746316.00,665.00,659.00,659.00
2010-06-16,6,471.00,307705.00,655.00,652.00,655.00
2010-06-17,18,2752.00,1787570.00,652.00,642.00,650.00
2010-06-20,11,771.00,503244.00,659.00,648.00,659.00
2010-06-21,9,1245.00,815908.00,664.00,650.00,660.00
2010-06-22,3,470.00,309245.00,660.00,655.00,660.00
2010-06-23,6,743.00,486406.00,660.00,651.00,655.00
2010-06-24,7,419.00,273378.00,655.00,650.00,650.00
2010-06-28,4,329.00,214055.00,660.00,647.00,647.00
2010-06-29,12,959.00,603526.00,642.00,623.00,625.00
2010-06-30,10,810.00,506268.00,629.00,624.00,625.00
2010-07-01,10,1103.00,706007.00,661.00,637.00,645.00
2010-07-04,3,274.00,172857.00,633.00,624.00,630.00
2010-07-05,5,427.00,267729.00,630.00,625.00,630.00
2010-07-06,6,351.00,221130.00,630.00,630.00,630.00
2010-07-07,11,1217.00,775569.00,645.00,633.00,635.00
2010-07-08,6,1028.00,640055.00,635.00,613.00,635.00
2010-07-11,3,653.00,412375.00,635.00,623.00,635.00
2010-07-12,7,954.00,601690.00,635.00,628.00,630.00
2010-07-13,3,548.00,345340.00,631.00,630.00,630.00
2010-07-14,17,1851.00,1164488.00,631.00,620.00,630.00
2010-07-15,10,1077.00,676643.00,631.00,626.00,626.00
2010-07-18,3,315.00,196175.00,625.00,622.00,625.00
2010-07-19,12,2240.00,1401375.00,635.00,610.00,634.00
2010-07-20,4,664.00,421609.00,645.00,631.00,631.00
2010-07-21,6,547.00,353500.00,649.00,643.00,643.00
2010-07-22,5,533.00,343379.00,649.00,640.00,649.00
2010-07-25,3,217.00,138580.00,640.00,638.00,640.00
2010-07-26,6,459.00,297088.00,650.00,640.00,641.00
2010-07-27,1,224.00,145600.00,650.00,650.00,650.00
2010-07-28,4,338.00,220510.00,660.00,650.00,652.00
2010-07-29,6,586.00,381508.00,653.00,649.00,650.00
2010-08-02,3,262.00,170842.00,655.00,647.00,655.00
2010-08-03,3,97.00,63032.00,660.00,647.00,647.00
2010-08-04,12,1284.00,818207.00,640.00,635.00,636.00
2010-08-05,10,1192.00,760609.00,648.00,634.00,635.00
2010-08-08,1,56.00,35000.00,625.00,625.00,625.00
2010-08-09,3,278.00,175405.00,635.00,630.00,635.00
2010-08-10,4,482.00,302490.00,630.00,625.00,630.00
2010-08-11,1,75.00,47400.00,632.00,632.00,632.00
2010-08-12,7,318.00,199665.00,632.00,620.00,628.00
2010-08-15,4,300.00,188404.00,630.00,625.00,630.00
2010-08-16,10,829.00,512850.00,630.00,610.00,610.00
2010-08-17,4,269.00,160510.00,600.00,590.00,595.00
2010-08-18,7,784.00,452074.00,590.00,574.00,575.00
2010-08-19,12,1756.00,1002308.00,580.00,570.00,572.00
2010-08-22,7,368.00,211130.00,575.00,570.00,570.00
2010-08-23,18,1629.00,923498.00,581.00,559.00,581.00
2010-08-26,8,378.00,215951.00,575.00,570.00,570.00
2010-08-30,10,877.00,489895.00,562.00,555.00,556.00
2010-08-31,13,2252.00,1208076.00,550.00,530.00,540.00
2010-09-02,5,892.00,478645.00,540.00,535.00,540.00
2010-09-05,25,2732.00,1359879.00,534.00,490.00,495.00
2010-09-06,23,6027.00,2925848.00,511.00,480.00,511.00
2010-09-07,4,718.00,368145.00,517.00,506.00,516.00
2010-09-08,23,4846.00,2578528.00,540.00,508.00,530.00
2010-09-09,10,1214.00,627043.00,525.00,513.00,515.00
2010-09-12,9,707.00,366488.00,525.00,515.00,520.00
2010-09-13,12,1344.00,688139.00,515.00,508.00,515.00
2010-09-14,8,1302.00,670563.00,519.00,513.00,515.00
2010-09-15,4,1035.00,528515.00,516.00,510.00,510.00
2010-09-16,1,25.00,12700.00,508.00,508.00,508.00
2010-09-19,3,818.00,413474.00,508.00,505.00,508.00
2010-09-20,11,1379.00,709378.00,518.00,511.00,511.00
