Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2015-01-01,12,35500.00,384771.00,11.00,10.20,11.00
2015-01-04,13,41610.00,451020.70,10.88,10.80,10.80
2015-01-05,12,42000.00,447200.00,10.70,10.60,10.60
2015-01-06,11,32800.00,343700.00,10.60,10.45,10.50
2015-01-07,5,12700.00,134035.00,10.56,10.55,10.56
2015-01-11,3,16260.00,170489.40,10.49,10.36,10.36
2015-01-12,2,3000.00,31050.00,10.35,10.35,10.35
2015-01-13,2,7500.00,77925.00,10.45,10.36,10.45
2015-01-14,2,6000.00,62920.00,10.50,10.42,10.50
2015-01-18,12,48000.00,503710.00,10.50,10.45,10.46
2015-01-19,23,112500.00,1184625.00,10.71,10.50,10.50
2015-01-20,6,26000.00,268450.00,10.40,10.30,10.30
2015-01-22,12,57610.00,588054.70,10.27,10.20,10.20
2015-01-25,16,47109.00,490290.95,10.45,10.30,10.30
2015-01-26,4,8615.00,89648.25,10.51,10.29,10.29
2015-01-27,6,21000.00,217525.00,10.40,10.30,10.35
2015-01-28,7,24110.00,251509.10,10.60,10.30,10.60
2015-01-29,3,5510.00,57004.00,10.40,10.28,10.28
2015-02-01,17,54030.00,571824.30,10.65,10.49,10.61
2015-02-02,14,81230.00,876058.50,10.89,10.55,10.80
2015-02-04,5,21000.00,227260.00,10.89,10.80,10.80
2015-02-05,2,7110.00,76941.30,10.83,10.80,10.80
2015-02-08,2,5610.00,60561.90,10.80,10.79,10.80
2015-02-09,2,4349.00,46986.65,10.85,10.75,10.75
2015-02-10,3,15000.00,158250.00,10.55,10.55,10.55
2015-02-11,8,24000.00,253380.00,10.56,10.55,10.56
2015-02-12,2,3760.00,39480.00,10.50,10.50,10.50
2015-02-15,14,62957.00,654756.35,10.55,10.30,10.37
2015-02-16,10,23600.00,242814.00,10.40,10.20,10.35
2015-02-18,2,7610.00,78513.50,10.35,10.30,10.35
2015-02-22,3,12000.00,125030.00,10.49,10.40,10.49
2015-02-23,4,20619.00,215468.55,10.50,10.40,10.50
2015-02-24,1,2610.00,27144.00,10.40,10.40,10.40
2015-02-25,4,14830.00,153710.00,10.40,10.30,10.30
2015-02-26,2,8100.00,83025.00,10.25,10.25,10.25
2015-03-01,1,1500.00,15390.00,10.26,10.26,10.26
2015-03-02,11,47830.00,490257.50,10.25,10.25,10.25
2015-03-03,8,25720.00,266675.60,10.50,10.31,10.50
2015-03-04,10,7610.00,79566.00,10.60,10.30,10.60
2015-03-09,1,1100.00,11550.00,10.50,10.50,10.50
2015-03-11,1,5000.00,51750.00,10.35,10.35,10.35
2015-03-12,2,1500.00,15525.00,10.35,10.35,10.35
2015-03-15,1,2610.00,26883.00,10.30,10.30,10.30
2015-03-16,4,12830.00,128906.60,10.09,10.01,10.03
2015-03-17,6,12200.00,123680.00,10.15,10.10,10.15
2015-03-18,3,5000.00,50400.00,10.20,10.00,10.20
2015-03-19,5,21000.00,212750.00,10.20,10.10,10.10
2015-03-22,5,11200.00,112694.00,10.07,10.06,10.07
2015-03-23,2,2000.00,20200.00,10.10,10.10,10.10
2015-03-24,2,3000.00,30300.00,10.10,10.10,10.10
2015-03-25,2,10000.00,100500.00,10.05,10.05,10.05
2015-03-26,3,15000.00,150050.00,10.01,10.00,10.00
