Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2012-08-16,1,345.00,69000.00,200.00,200.00,200.00
2012-08-21,2,690.00,135240.00,196.00,196.00,196.00
2012-09-24,10,2162.00,399824.00,193.00,181.00,181.00
2012-10-08,18,4206.00,744752.00,183.00,171.00,174.00
2012-10-09,1,151.00,25821.00,171.00,171.00,171.00
2012-11-08,4,1000.00,165030.00,168.00,165.00,165.00
2012-12-19,16,5251.00,850662.00,162.00,162.00,162.00
2013-02-25,3,1035.00,170775.00,165.00,165.00,165.00
2013-03-19,10,5287.00,801042.00,162.00,150.00,150.00
2013-03-27,44,14076.00,1875323.00,138.00,124.00,124.00
2013-04-04,1,214.00,25252.00,118.00,118.00,118.00
2013-04-07,5,679.00,78764.00,116.00,116.00,116.00
2013-04-08,3,284.00,31752.00,114.00,110.00,110.00
2013-04-11,10,1710.00,189061.00,112.00,108.00,108.00
2013-04-16,4,1380.00,149040.00,108.00,108.00,108.00
2013-04-18,2,545.00,59950.00,110.00,110.00,110.00
2013-04-28,12,3141.00,348716.00,114.00,110.00,110.00
2013-04-29,1,448.00,50176.00,112.00,112.00,112.00
2013-05-02,1,345.00,37950.00,110.00,110.00,110.00
2013-05-16,10,1673.00,190756.00,116.00,112.00,114.00
2013-05-20,2,180.00,20880.00,116.00,116.00,116.00
2013-05-21,5,1581.00,186212.00,120.00,116.00,120.00
2013-05-26,1,338.00,41236.00,122.00,122.00,122.00
2013-05-28,1,483.00,58443.00,121.00,121.00,121.00
2013-05-30,25,9723.00,1107963.00,122.00,112.00,112.00
2013-06-02,1,350.00,39200.00,112.00,112.00,112.00
2013-06-03,12,4140.00,455400.00,110.00,110.00,110.00
2013-06-13,4,5372.00,580176.00,108.00,108.00,108.00
2013-06-17,1,69.00,7452.00,108.00,108.00,108.00
2013-06-19,4,3570.00,406580.00,114.00,110.00,114.00
2013-06-20,1,41.00,4592.00,112.00,112.00,112.00
2013-06-23,1,97.00,10670.00,110.00,110.00,110.00
2013-06-24,1,97.00,10864.00,112.00,112.00,112.00
2013-07-02,1,214.00,24396.00,114.00,114.00,114.00
2013-07-03,2,55.00,6120.00,112.00,110.00,110.00
2013-07-29,1,100.00,11200.00,112.00,112.00,112.00
2013-08-01,1,236.00,26904.00,114.00,114.00,114.00
2013-08-04,2,50.00,5880.00,118.00,116.00,118.00
2013-08-06,3,338.00,41360.00,124.00,120.00,124.00
2013-08-07,3,884.00,109396.00,126.00,122.00,126.00
2013-08-08,1,276.00,34224.00,124.00,124.00,124.00
2013-08-11,1,41.00,5166.00,126.00,126.00,126.00
2013-08-12,1,338.00,42250.00,125.00,125.00,125.00
2013-08-13,2,60.00,7700.00,129.00,127.00,129.00
2013-08-14,1,69.00,8901.00,129.00,129.00,129.00
2013-08-20,2,40.00,5280.00,133.00,131.00,133.00
2013-08-27,2,40.00,5440.00,137.00,135.00,137.00
2013-09-04,1,35.00,4865.00,139.00,139.00,139.00
2013-09-09,1,20.00,2820.00,141.00,141.00,141.00
2013-11-12,3,3931.00,559282.00,146.00,142.00,146.00
2013-12-02,3,60.00,9020.00,153.00,148.00,153.00
2013-12-03,2,20.00,3150.00,159.00,156.00,159.00
2013-12-05,1,332.00,53784.00,162.00,162.00,162.00
2013-12-08,1,332.00,54780.00,165.00,165.00,165.00
2013-12-09,1,69.00,11592.00,168.00,168.00,168.00
2013-12-11,1,20.00,3420.00,171.00,171.00,171.00
2013-12-12,2,40.00,7020.00,177.00,174.00,177.00
2013-12-15,1,269.00,48420.00,180.00,180.00,180.00
2013-12-22,6,28014.00,5047020.00,186.00,180.00,186.00
2013-12-24,1,48.00,8784.00,183.00,183.00,183.00
2013-12-26,6,1988.00,386142.00,201.00,186.00,201.00
2014-02-20,5,2014.00,345306.00,180.00,171.00,174.00
2014-03-09,4,2338.00,414096.00,180.00,177.00,177.00
2014-03-25,3,333.00,60939.00,186.00,180.00,186.00
2014-03-26,9,1851.00,333968.00,188.00,175.00,188.00
2014-04-02,1,173.00,33043.00,191.00,191.00,191.00
2014-04-06,1,228.00,44232.00,194.00,194.00,194.00
2014-04-10,2,345.00,66975.00,197.00,194.00,194.00
2014-04-15,5,1725.00,339825.00,197.00,197.00,197.00
2014-04-20,1,145.00,29000.00,200.00,200.00,200.00
2014-04-21,2,345.00,67590.00,196.00,193.00,196.00
2014-04-23,3,4718.00,913679.00,199.00,193.00,199.00
2014-05-08,1,980.00,186200.00,190.00,190.00,190.00
2014-05-11,1,4476.00,850440.00,190.00,190.00,190.00
2014-05-20,1,38.00,7334.00,193.00,193.00,193.00
2014-05-22,2,448.00,89008.00,199.00,196.00,199.00
2014-05-26,13,3450.00,696900.00,202.00,202.00,202.00
2014-05-28,9,2428.00,500168.00,206.00,206.00,206.00
2014-06-04,1,4471.00,903142.00,202.00,202.00,202.00
2014-06-16,4,130.00,28100.00,218.00,206.00,218.00
