Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2010-04-19,8,1025.00,405750.00,400.00,390.00,390.00
2010-04-20,12,1150.00,439525.00,385.00,379.00,384.00
2010-04-21,3,150.00,55850.00,377.00,370.00,370.00
2010-04-22,11,593.00,208378.00,365.00,342.00,359.00
2010-04-25,18,2825.00,969420.00,366.00,338.00,338.00
2010-04-26,8,1105.00,366375.00,340.00,324.00,324.00
2010-04-27,6,982.00,309598.00,319.00,313.00,319.00
2010-04-28,12,2587.00,824076.00,324.00,315.00,320.00
2010-04-29,2,214.00,68814.00,326.00,321.00,321.00
2010-05-09,4,615.00,194895.00,327.00,315.00,315.00
2010-05-11,2,40.00,12960.00,327.00,321.00,327.00
2010-05-12,8,856.00,305924.00,359.00,333.00,359.00
2010-05-13,8,522.00,203036.00,394.00,366.00,394.00
2010-05-16,12,625.00,234010.00,400.00,360.00,360.00
2010-05-17,10,1174.00,425938.00,370.00,360.00,370.00
2010-05-18,2,306.00,113360.00,377.00,370.00,377.00
2010-05-19,7,380.00,153160.00,408.00,384.00,408.00
2010-05-20,10,1161.00,476932.00,418.00,402.00,410.00
2010-05-23,8,434.00,183505.00,430.00,410.00,430.00
2010-05-24,11,562.00,251015.00,453.00,438.00,442.00
2010-05-25,13,1387.00,636759.00,480.00,426.00,474.00
2010-05-26,11,1013.00,484990.00,483.00,464.00,473.00
2010-05-30,15,1807.00,923972.00,520.00,482.00,511.00
2010-05-31,17,1251.00,642443.00,521.00,481.00,481.00
2010-06-01,15,1479.00,688572.00,490.00,455.00,490.00
2010-06-02,13,738.00,343107.00,498.00,457.00,478.00
2010-06-03,16,1340.00,645963.00,490.00,478.00,485.00
2010-06-06,7,544.00,258800.00,489.00,470.00,479.00
2010-06-07,5,425.00,204975.00,485.00,480.00,480.00
2010-06-08,8,1085.00,526825.00,489.00,480.00,480.00
2010-06-09,8,635.00,302413.00,480.00,471.00,471.00
2010-06-10,11,672.00,331895.00,507.00,480.00,497.00
2012-02-27,1,10.00,2540.00,254.00,254.00,254.00
2012-02-29,2,2224.00,544920.00,249.00,245.00,245.00
2012-03-06,5,50.00,11650.00,241.00,225.00,225.00
2012-03-13,4,40.00,8600.00,221.00,209.00,209.00
2012-03-14,6,60.00,11770.00,205.00,189.00,189.00
2012-03-15,6,60.00,10710.00,186.00,171.00,171.00
2012-03-19,7,82.00,11876.00,151.00,139.00,139.00
2012-03-20,168,62910.00,7986416.00,137.00,126.00,130.00
2012-03-21,57,19823.00,2549403.00,131.00,126.00,131.00
2012-03-25,89,7490.00,973096.00,131.00,129.00,131.00
2012-03-26,64,15479.00,2031456.00,133.00,130.00,132.00
2012-03-27,84,12407.00,1640474.00,134.00,131.00,134.00
2012-03-28,74,13523.00,1832736.00,139.00,133.00,137.00
2012-03-29,36,10263.00,1408805.00,138.00,135.00,135.00
2012-04-01,32,10278.00,1385199.00,138.00,134.00,136.00
