Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-10-23,8,120.00,12600.00,105.00,105.00,105.00
2013-11-06,77,770.00,79310.00,103.00,103.00,103.00
2013-12-02,5,190.00,19060.00,102.00,100.00,100.00
2013-12-03,8,760.00,81920.00,110.00,100.00,110.00
2013-12-04,13,1750.00,190970.00,115.00,105.00,115.00
2013-12-05,12,590.00,70710.00,124.00,117.00,120.00
2013-12-08,34,3620.00,450810.00,128.00,122.00,124.00
2013-12-09,16,1090.00,136410.00,126.00,124.00,126.00
2013-12-10,7,200.00,24600.00,124.00,122.00,122.00
2013-12-11,34,1220.00,152430.00,128.00,121.00,121.00
2013-12-12,5,430.00,50570.00,119.00,117.00,117.00
2013-12-15,18,480.00,55640.00,117.00,115.00,117.00
2013-12-16,22,930.00,109570.00,119.00,115.00,119.00
2013-12-18,8,550.00,66080.00,121.00,118.00,121.00
2013-12-19,6,190.00,23730.00,125.00,123.00,125.00
2013-12-22,31,1540.00,192660.00,128.00,123.00,123.00
2013-12-31,24,440.00,53240.00,121.00,121.00,121.00
2014-01-01,6,100.00,11800.00,119.00,117.00,117.00
2014-01-02,15,310.00,34870.00,115.00,109.00,109.00
2014-01-05,35,1860.00,199450.00,109.00,105.00,107.00
2014-01-06,21,440.00,46860.00,107.00,105.00,107.00
2014-01-07,43,1030.00,108790.00,107.00,105.00,105.00
2014-01-08,36,1340.00,145260.00,113.00,104.00,111.00
2014-01-09,48,650.00,70250.00,109.00,107.00,108.00
2014-01-12,6,310.00,33080.00,109.00,106.00,109.00
2014-01-13,10,200.00,22220.00,113.00,111.00,111.00
2014-01-14,19,310.00,33520.00,109.00,107.00,108.00
2014-01-16,11,150.00,16110.00,108.00,107.00,108.00
2014-01-19,9,250.00,26650.00,108.00,105.00,108.00
2014-01-20,20,700.00,76380.00,110.00,108.00,108.00
2014-01-21,11,590.00,64020.00,110.00,107.00,110.00
2014-01-22,13,360.00,41010.00,115.00,112.00,115.00
2014-01-23,19,1310.00,155300.00,120.00,116.00,120.00
2014-01-26,26,1380.00,172090.00,128.00,120.00,128.00
2014-01-27,61,5490.00,763740.00,140.00,130.00,140.00
2014-01-28,21,620.00,83480.00,140.00,132.00,132.00
2014-01-29,70,1100.00,144500.00,134.00,128.00,128.00
2014-02-02,27,700.00,90600.00,130.00,128.00,128.00
2014-02-03,39,1610.00,207500.00,138.00,122.00,138.00
2014-02-04,29,490.00,63450.00,136.00,125.00,125.00
2014-02-05,30,1150.00,142230.00,125.00,122.00,125.00
2014-02-06,61,950.00,120810.00,135.00,122.00,135.00
2014-02-09,46,710.00,91010.00,133.00,124.00,124.00
2014-02-10,17,260.00,32840.00,128.00,124.00,128.00
2014-02-11,30,1630.00,202230.00,126.00,123.00,123.00
2014-02-12,69,4130.00,492140.00,122.00,114.00,122.00
2014-02-13,31,660.00,80680.00,123.00,122.00,122.00
2014-02-16,55,1980.00,236370.00,121.00,116.00,120.00
2014-02-17,23,380.00,44010.00,118.00,115.00,115.00
2014-02-18,25,420.00,48770.00,118.00,114.00,117.00
2014-02-20,16,330.00,39600.00,122.00,119.00,122.00
2014-02-23,10,220.00,26840.00,122.00,122.00,122.00
2014-02-24,23,810.00,101540.00,126.00,124.00,125.00
2014-02-25,39,1670.00,212580.00,129.00,125.00,128.00
2014-03-03,17,570.00,70700.00,126.00,122.00,122.00
2014-03-04,32,910.00,106770.00,122.00,116.00,117.00
2014-03-05,39,630.00,74790.00,120.00,115.00,119.00
2014-03-06,31,2220.00,261350.00,119.00,115.00,118.00
2014-03-09,12,670.00,78420.00,118.00,116.00,116.00
2014-03-10,42,1850.00,217010.00,118.00,115.00,118.00
2014-03-11,49,940.00,108590.00,117.00,114.00,116.00
2014-03-12,1,10.00,1140.00,114.00,114.00,114.00
