Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2012-08-22,3,140.00,25040.00,180.00,177.00,179.00
2012-10-31,3,40.00,6690.00,171.00,165.00,165.00
2012-11-01,4,80.00,12570.00,162.00,153.00,153.00
2012-11-04,4,80.00,11700.00,150.00,143.00,143.00
2012-11-25,2,40.00,5400.00,136.00,134.00,134.00
2012-11-28,3,60.00,7560.00,128.00,124.00,124.00
2012-12-02,1,10.00,1220.00,122.00,122.00,122.00
2012-12-04,1,20.00,2400.00,120.00,120.00,120.00
2012-12-05,9,2000.00,226160.00,118.00,110.00,110.00
2012-12-06,33,9975.00,1053972.00,111.00,102.00,108.00
2012-12-09,18,4489.00,475723.00,109.00,102.00,108.00
2012-12-10,15,5930.00,618450.00,106.00,103.00,104.00
2012-12-11,8,4650.00,490200.00,106.00,104.00,106.00
2012-12-12,6,2279.00,239146.00,106.00,104.00,106.00
2012-12-13,5,1520.00,159620.00,106.00,104.00,104.00
2012-12-16,4,1600.00,169800.00,108.00,106.00,108.00
2012-12-17,19,5392.00,587118.00,110.00,107.00,110.00
2012-12-18,49,11140.00,1196920.00,110.00,106.00,108.00
2012-12-19,43,13398.00,1360698.00,106.00,98.00,100.00
2012-12-20,14,4789.00,491749.00,104.00,101.00,103.00
2012-12-23,3,1050.00,106600.00,102.00,101.00,101.00
2012-12-24,2,700.00,70350.00,101.00,100.00,101.00
2012-12-26,9,2056.00,212810.00,105.00,102.00,103.00
2012-12-27,4,850.00,88150.00,105.00,103.00,103.00
2012-12-31,7,2370.00,239970.00,103.00,101.00,103.00
2013-01-01,20,3630.00,363320.00,101.00,99.00,100.00
2013-01-02,4,1590.00,157500.00,100.00,99.00,99.00
2013-01-03,25,3450.00,339530.00,99.00,98.00,98.00
2013-01-07,8,1460.00,140730.00,98.00,96.00,97.00
2013-01-09,1,120.00,11520.00,96.00,96.00,96.00
2013-01-10,10,1200.00,115200.00,96.00,96.00,96.00
2013-01-13,5,1958.00,185010.00,95.00,94.00,95.00
2013-01-15,14,3840.00,358490.00,94.00,93.00,94.00
2013-01-16,13,3606.00,329896.00,93.00,91.00,92.00
2013-01-17,3,600.00,55200.00,92.00,92.00,92.00
2013-01-20,8,890.00,81060.00,92.00,91.00,91.00
2013-01-22,2,710.00,65110.00,92.00,91.00,91.00
2013-01-23,6,570.00,51300.00,90.00,90.00,90.00
2013-01-24,2,320.00,29340.00,92.00,91.00,92.00
2013-01-27,6,1378.00,125398.00,91.00,91.00,91.00
2013-01-28,5,1590.00,143590.00,91.00,90.00,91.00
2013-01-30,7,1969.00,179559.00,92.00,91.00,91.00
2013-01-31,2,756.00,69046.00,92.00,91.00,92.00
2013-02-03,1,1839.00,171027.00,93.00,93.00,93.00
2013-02-04,1,300.00,27600.00,92.00,92.00,92.00
2013-02-05,2,410.00,37720.00,92.00,92.00,92.00
2013-02-06,3,300.00,27400.00,92.00,91.00,91.00
2013-02-07,5,280.00,25880.00,93.00,92.00,93.00
2013-02-10,2,2339.00,215688.00,93.00,92.00,92.00
2013-02-13,9,1720.00,158810.00,94.00,92.00,94.00
2013-02-14,3,3020.00,286900.00,95.00,95.00,95.00
2013-02-19,1,100.00,9400.00,94.00,94.00,94.00
2013-02-20,2,836.00,79420.00,95.00,95.00,95.00
2013-02-21,2,1050.00,100750.00,96.00,95.00,96.00
2013-02-24,17,3100.00,302450.00,99.00,97.00,98.00
2013-02-25,9,4640.00,456860.00,100.00,98.00,100.00
2013-02-26,13,4975.00,498595.00,101.00,98.00,101.00
2013-02-27,7,1390.00,139660.00,103.00,100.00,103.00
2013-03-03,5,1540.00,155690.00,102.00,101.00,101.00
2013-03-04,5,1286.00,127974.00,102.00,99.00,99.00
2013-03-05,5,1390.00,137610.00,99.00,99.00,99.00
2013-03-07,5,1550.00,153550.00,100.00,99.00,99.00
2013-03-11,9,2400.00,237250.00,100.00,98.00,98.00
2013-03-13,3,1159.00,114871.00,100.00,99.00,99.00
2013-03-14,5,610.00,60840.00,102.00,99.00,99.00
2013-03-17,3,690.00,67010.00,98.00,97.00,97.00
2013-03-18,2,980.00,95060.00,97.00,97.00,97.00
2013-03-19,3,1530.00,145460.00,96.00,95.00,95.00
2013-03-24,2,100.00,9550.00,96.00,95.00,96.00
2013-03-25,1,120.00,11400.00,95.00,95.00,95.00
2013-03-27,5,640.00,60610.00,95.00,94.00,94.00
2013-03-28,2,450.00,43150.00,96.00,95.00,96.00
2013-04-08,9,1270.00,121500.00,97.00,95.00,96.00
2013-04-11,10,1536.00,149040.00,103.00,95.00,103.00
2013-04-21,1,500.00,50500.00,101.00,101.00,101.00
2013-04-22,1,100.00,9900.00,99.00,99.00,99.00
2013-04-23,7,1010.00,98010.00,98.00,96.00,96.00
2013-04-25,8,940.00,88510.00,95.00,93.00,93.00
2013-04-29,13,920.00,87990.00,96.00,94.00,96.00
2013-04-30,30,2740.00,263040.00,96.00,96.00,96.00
2013-05-02,4,520.00,49920.00,96.00,96.00,96.00
2013-05-05,1,110.00,10450.00,95.00,95.00,95.00
2013-05-12,4,350.00,28550.00,83.00,81.00,81.00
2013-05-13,17,4000.00,371800.00,94.00,92.00,92.00
2013-05-14,3,619.00,57467.00,93.00,92.00,92.00
2013-05-15,29,7307.00,649983.00,91.00,84.00,84.00
2013-05-16,3,1407.00,115374.00,83.00,81.00,81.00
2013-05-20,2,1889.00,156737.00,83.00,82.00,83.00
2013-05-21,1,70.00,5880.00,84.00,84.00,84.00
2013-05-23,2,180.00,15300.00,85.00,85.00,85.00
2013-05-26,17,3380.00,292860.00,87.00,86.00,87.00
2013-05-27,8,2386.00,209968.00,88.00,88.00,88.00
2013-05-28,9,4227.00,380419.00,91.00,89.00,91.00
2013-05-30,5,6446.00,578300.00,90.00,89.00,90.00
2013-06-04,8,1290.00,116790.00,91.00,89.00,89.00
2013-06-05,7,5150.00,463700.00,91.00,90.00,90.00
2013-06-06,1,1058.00,94162.00,89.00,89.00,89.00
2013-06-10,5,2280.00,203700.00,90.00,89.00,90.00
2013-06-11,2,210.00,18900.00,90.00,90.00,90.00
2013-06-12,1,200.00,18200.00,91.00,91.00,91.00
2013-06-13,9,3240.00,291100.00,90.00,89.00,89.00
2013-06-18,2,200.00,17600.00,88.00,88.00,88.00
2013-06-25,1,150.00,13050.00,87.00,87.00,87.00
2013-06-26,11,2588.00,221100.00,87.00,85.00,85.00
2013-06-30,2,772.00,65840.00,86.00,85.00,85.00
2013-07-01,9,660.00,56600.00,87.00,85.00,85.00
2013-07-02,7,1530.00,128770.00,86.00,83.00,86.00
2013-07-03,18,990.00,86970.00,89.00,87.00,89.00
2013-07-04,14,810.00,72900.00,90.00,90.00,90.00
2013-07-08,3,550.00,48450.00,89.00,88.00,88.00
2013-07-09,3,560.00,47770.00,87.00,85.00,85.00
2013-07-10,10,2988.00,259110.00,88.00,85.00,88.00
