Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-01-27,1,208.00,26000.00,125.00,125.00,125.00
2013-05-27,6,830.00,96280.00,123.00,113.00,113.00
2013-06-09,1,208.00,23920.00,115.00,115.00,115.00
2013-12-24,1,208.00,24336.00,117.00,117.00,117.00
2014-01-27,1,42.00,4998.00,119.00,119.00,119.00
2014-01-28,1,50.00,6050.00,121.00,121.00,121.00
2014-01-29,1,83.00,10209.00,123.00,123.00,123.00
2014-02-10,1,498.00,62250.00,125.00,125.00,125.00
2014-02-20,1,2073.00,263271.00,127.00,127.00,127.00
2014-02-24,3,4975.00,650067.00,131.00,129.00,131.00
2014-02-26,4,5433.00,733623.00,139.00,133.00,139.00
2014-03-11,5,274.00,38978.00,146.00,142.00,146.00
2014-03-17,1,4984.00,722680.00,145.00,145.00,145.00
2014-03-18,1,415.00,60590.00,146.00,146.00,146.00
2014-03-20,1,42.00,6216.00,148.00,148.00,148.00
2014-03-31,1,140.00,20720.00,148.00,148.00,148.00
2014-04-01,2,514.00,77100.00,150.00,150.00,150.00
2014-04-02,1,42.00,6426.00,153.00,153.00,153.00
2014-04-07,1,1335.00,200250.00,150.00,150.00,150.00
2014-04-16,3,250.00,39420.00,159.00,153.00,159.00
2014-04-20,3,1970.00,321705.00,168.00,162.00,168.00
2014-04-29,2,310.00,53910.00,174.00,171.00,174.00
2014-05-04,6,60.00,11060.00,191.00,177.00,191.00
2014-05-05,6,65.00,13150.00,210.00,194.00,210.00
2014-05-06,5,105.00,22870.00,230.00,214.00,230.00
2014-05-07,10,2513.00,593770.00,246.00,234.00,246.00
2014-05-08,6,1909.00,461103.00,250.00,237.00,240.00
2014-05-11,2,4146.00,978456.00,236.00,236.00,236.00
2014-05-12,3,2123.00,503340.00,241.00,237.00,237.00
2014-05-13,2,52.00,12700.00,245.00,241.00,245.00
2014-05-19,1,208.00,51792.00,249.00,249.00,249.00
2014-05-20,1,83.00,20999.00,253.00,253.00,253.00
2014-05-21,1,10.00,2580.00,258.00,258.00,258.00
2014-05-22,1,332.00,87316.00,263.00,263.00,263.00
2014-05-26,2,2201.00,589039.00,268.00,267.00,268.00
2014-05-27,2,213.00,59164.00,278.00,273.00,278.00
2014-06-01,1,42.00,11676.00,278.00,278.00,278.00
2014-06-02,1,10.00,2830.00,283.00,283.00,283.00
2014-06-09,1,10.00,2880.00,288.00,288.00,288.00
2014-06-16,2,30.00,8790.00,293.00,293.00,293.00
2014-06-18,1,10.00,2980.00,298.00,298.00,293.00
2014-06-19,1,108.00,31644.00,293.00,293.00,293.00
2014-06-25,1,208.00,59904.00,288.00,288.00,288.00
2014-06-26,1,498.00,140934.00,283.00,283.00,283.00
2014-06-29,2,88.00,24332.00,278.00,275.00,275.00
2014-06-30,1,332.00,89640.00,270.00,270.00,270.00
2014-07-02,2,208.00,55120.00,265.00,265.00,265.00
2014-07-03,4,1112.00,291360.00,265.00,260.00,265.00
2014-07-08,1,912.00,246240.00,270.00,270.00,270.00
2014-07-10,1,2612.00,718300.00,275.00,275.00,275.00
2014-07-15,9,1964.00,548765.00,290.00,275.00,290.00
2014-07-16,1,21.00,6195.00,295.00,295.00,295.00
2014-07-21,1,21.00,6300.00,300.00,300.00,300.00
2014-07-22,6,1287.00,414702.00,330.00,306.00,330.00
2014-07-24,2,1669.00,570738.00,342.00,336.00,342.00
2014-07-27,3,94.00,33094.00,361.00,348.00,361.00
2014-07-28,1,21.00,7728.00,368.00,368.00,368.00
2014-08-07,1,156.00,49920.00,320.00,320.00,320.00
2014-08-14,1,87.00,27318.00,314.00,314.00,314.00
2014-08-19,2,529.00,166166.00,320.00,314.00,314.00
2014-10-28,1,108.00,33264.00,308.00,308.00,308.00
2014-10-30,5,1299.00,386469.00,302.00,291.00,291.00
2014-11-05,1,140.00,40040.00,286.00,286.00,286.00
2014-11-10,1,200.00,57400.00,287.00,287.00,287.00
2014-11-13,8,3346.00,971444.00,295.00,290.00,290.00
2014-11-16,2,1053.00,300246.00,286.00,285.00,285.00
2014-11-19,1,73.00,20440.00,280.00,280.00,280.00
2014-11-20,5,615.00,175855.00,287.00,277.00,287.00
2014-11-23,1,500.00,142500.00,285.00,285.00,285.00
2014-11-24,5,520.00,142290.00,280.00,270.00,275.00
2014-11-25,1,46.00,12604.00,274.00,274.00,274.00
2014-12-03,4,544.00,149812.00,276.00,275.00,275.00
2014-12-14,1,133.00,31521.00,237.00,237.00,237.00
2014-12-22,1,83.00,20003.00,241.00,241.00,241.00
2014-12-23,1,18.00,4410.00,245.00,245.00,245.00
2015-01-08,8,1852.00,497648.00,269.00,249.00,269.00
2015-01-11,12,2120.00,623842.00,295.00,274.00,295.00
2015-01-12,1,100.00,29000.00,290.00,290.00,290.00
2015-01-14,1,320.00,91200.00,285.00,285.00,285.00
